Mean_time	Mean_qlow	Mean_qup	Priors
t_n981	39.591	23.76	60.76	0
t_n982	22.585	17.5	29.06	0
t_n983	21.232	16.48	27.11	0
t_n984	20	15.53	25.49	0
t_n985	18.759	14.2	24.27	0
t_n986	17.154	12.6	22.68	0
t_n987	18.025	13.76	23.28	0
t_n988	16.551	12.35	21.73	0
t_n989	18.742	13.12	25.54	0
t_n990_Pittosporaceae	47.719	42.61	58.91	ST(0.426,0.144,39.518,2.457)
t_n991	51.891	22.25	78.29	0
t_n992	47.249	18.96	74.14	0
t_n993	96.082	75.63	107.44	0
t_n994	50.536	20.14	80.29	0
t_n995	17.766	4.84	33.69	0
t_n996	99.744	81.62	109.85	0
t_n997	91.822	72.19	104.98	0
t_n998	85.138	63.45	100.84	0
t_n999	23.455	14.19	43.07	0
t_n1000	16.153	5.01	26.45	0
t_n1001	90.844	58.22	106.33	0
t_n1002	98.183	88.86	106.41	0
t_n1003	95.521	85.74	104.22	0
t_n1004	88.346	78.4	98.6	0
t_n1005	87.463	77.5	97.8	0
t_n1006	80.394	70.8	91.18	0
t_n1007	69.442	59.51	79.57	0
t_n1008_Asteraceae	59.215	51.16	68.74	ST(0.501,0.152,196.221,5.942)
t_n1009	56.302	48.01	66.02	0
t_n1010	45.509	34.42	55.91	0
t_n1011	40.261	29.31	51.01	0
t_n1012	32.745	23.96	43.87	0
t_n1013	19.946	14.03	28.07	0
t_n1014	17.873	12.36	25.65	0
t_n1015	26.063	18.36	37.24	0
t_n1016	19.75	13.16	29.19	0
t_n1017	31.132	18.03	50.52	0
t_n1018	21.066	12.68	39.28	0
t_n1019	54.018	41.91	66.42	0
t_n1020	28.923	17.16	45.43	0
t_n1021_Menyanthaceae	44.075	35.36	61.35	ST(0.35,0.046,6.373,2.287)
t_n1022	20.651	9.37	37.91	0
t_n1023	22.534	13.82	37.67	0
t_n1024	77.201	60.29	91.05	0
t_n1025	50.787	27.01	71.51	0
t_n1026	83.287	71	95.71	0
t_n1027	44.341	22.27	67.34	0
t_n1028	36.008	18.71	58.39	0
t_n1029	19.508	8.94	37.72	0
t_n1030	79.372	61.83	93.61	0
t_n1031	26.362	13.9	53.68	0
t_n1032	88.888	77.08	99.5	0
t_n1033_Campanulaceae	64.747	51.66	81.05	ST(0.2,0.155,337.75,2.73)
t_n1034	60.189	47.7	76.36	0
t_n1035	53.458	39.85	70.73	0
t_n1036	24.974	14.52	43.99	0
t_n1037	31.884	16.85	52.09	0
t_n1038	74.682	55.13	90.18	0
t_n1039	48.9	26.79	71.16	0
t_n1040	19.908	11.02	35.86	0
t_n1041	108.009	92.62	118.83	0
t_n1042	91.002	69.57	108.02	0
t_n1043	76.613	51.25	98.98	0
t_n1044	65.622	37.09	92.88	0
t_n1045	29.277	16.32	54.68	0
t_n1046	18.638	8.54	34.99	0
t_n1047	71.313	48.05	96.19	0
t_n1048	61.06	38.72	86.6	0
t_n1049	117.298	110.07	124.7	0
t_n1050	115.542	107.73	123.09	0
t_n1051	103.754	95.59	111.63	0
t_n1052	99.585	91.56	107.41	0
