Mean_time	Mean_qlow	Mean_qup	Priors
t_n911	45.234	21.26	69.04	0
t_n912	50.417	19.35	83.42	0
t_n913	102.934	96.91	111.56	0
t_n914_Hamamelidaceae	98.946	95.16	106.19	ST(0.95,0.087,1061.88,3.907)
t_n915	71.373	32.67	98.82	0
t_n916	24.733	13.66	51.97	0
t_n917	26.897	13.29	64.03	0
t_n918	89.453	57.22	102.12	0
t_n919	16.696	7.12	26.47	0
t_n920	149.517	141.72	158.01	0
t_n921	147.098	139.33	155.54	0
t_n922	145.659	137.9	154.08	0
t_n923	141.892	134.21	150.27	0
t_n924	132.906	126.33	140.51	0
t_n925	129.983	123.72	137.21	0
t_n926	121.375	115.54	128.6	0
t_n927	117.762	111.9	124.89	0
t_n928	109.928	104.52	116.47	0
t_n929	108.402	103.15	115	0
t_n930	107.074	102.07	113.6	0
t_n931	105.844	101.08	112.22	0
t_n932	103.381	99.07	109.47	0
t_n933_Dipsacales	96.795	95.06	100.68	ST(0.95,0.059,454.689,1.717)
t_n934	75.56	62.71	86.49	0
t_n935	73.197	60.92	84.13	0
t_n936	65.533	54.62	77.12	0
t_n937	62.739	52.31	74.38	0
t_n938	58.98	48.95	70.8	0
t_n939	51.873	41.55	62.96	0
t_n940	44.569	33.48	55.81	0
t_n941	34.243	24.12	46.1	0
t_n942	21.608	13.88	33.03	0
t_n943	21.303	13.88	32.28	0
t_n944	47.95	33.57	61.07	0
t_n945	28.176	18.18	44.43	0
t_n946	20.826	13.11	35.73	0
t_n947	54.846	41.43	68.7	0
t_n948	37.944	22.71	53.96	0
t_n949	23.331	13.87	39.92	0
t_n950	20.937	14.68	29.69	0
t_n951	18.204	12.63	25.06	0
t_n952	15.509	7.4	21.94	0
t_n953	64.307	44.8	79.13	0
t_n954	24.049	16.45	38.47	0
t_n955	21.459	14.7	34.46	0
t_n956	18.273	12.31	28.95	0
t_n957	32.599	13.47	66.96	0
t_n958_Adoxaceae	81.428	77.28	89.34	ST(0.775,0.065,12.265,2.333)
t_n959	46.745	26.01	68.56	0
t_n960	25.031	15.85	42.51	0
t_n961	17.94	10.26	29.09	0
t_n962	78.469	44.01	100.23	0
t_n963	57.965	20.56	89.7	0
t_n964_Apiales	100.803	96.07	107.41	ST(0.96,0.146,14.481,2.97)
t_n965_Torricelliaceae	87.529	80.69	95.56	ST(0.6,0.229,26.089,2.583)
t_n966	84.7	78.72	92.23	0
t_n967	78.849	74.91	84.61	0
t_n968_Araliaceae	76.177	73.4	80.89	ST(0.725,0.045,19.475,2.399)
t_n969	75.389	72.98	79.95	0
t_n970_Apiaceae	74.347	72.53	78.76	ST(0.725,0.142,170.401,3.245)
t_n971	65.069	54.9	72.83	0
t_n972	55.935	45.74	65.34	0
t_n973	46.699	36.14	56.96	0
t_n974	29.066	21.79	38.74	0
t_n975	23.203	17.27	30.98	0
