xi-location	omega-scale	alpha-shape	nu-df	MCMCtree-calib	MCMCtree-calib-rounded	95%CI	MCMCtree-hardbounds
primulaceae	0.700348233543269	0.12584929728874	102.730569947195	2.92996742962354	ST(0.700348233543269,0.12584929728874,102.730569947195,2.92996742962354)	'ST(0.7,0.126,102.731,2.93)'	q2.5%-0.7|q97.5%-1.23	B(0.7,1.23,1e-300,1e-300)
proteaceae	0.650658743020048	0.0378734314966265	12.9190525008272	2.55875224537855	ST(0.650658743020048,0.0378734314966265,12.9190525008272,2.55875224537855)	'ST(0.651,0.038,12.919,2.559)'	q2.5%-0.65|q97.5%-0.82	B(0.65,0.82,1e-300,1e-300)
ranunculaceae	0.650276105983662	0.10023946034526	76.6837754341962	2.99106054339089	ST(0.650276105983662,0.10023946034526,76.6837754341962,2.99106054339089)	'ST(0.65,0.1,76.684,2.991)'	q2.5%-0.65|q97.5%-1.05	B(0.65,1.05,1e-300,1e-300)
rhamnaceae	0.775350635652126	0.0389883672063324	5.52208229659513	2.099661404957	ST(0.775350635652126,0.0389883672063324,5.52208229659513,2.099661404957)	'ST(0.775,0.039,5.522,2.1)'	q2.5%-0.77|q97.5%-0.99	B(0.77,0.99,1e-300,1e-300)
rhizophoraceae	0.550200435525767	0.115588161630212	267.651566136476	3.14859977344323	ST(0.550200435525767,0.115588161630212,267.651566136476,3.14859977344323)	'ST(0.55,0.116,267.652,3.149)'	q2.5%-0.55|q97.5%-1.02	B(0.55,1.02,1e-300,1e-300)
salicaceae	0.700004765447198	0.0433631303406667	1375.69007899121	3.61718948731377	ST(0.700004765447198,0.0433631303406667,1375.69007899121,3.61718948731377)	'ST(0.7,0.043,1375.69,3.617)'	q2.5%-0.7|q97.5%-0.86	B(0.7,0.86,1e-300,1e-300)
saururaceae	0.470106454532719	0.0908335724800877	7.97447727345297	2.86200242156133	ST(0.470106454532719,0.0908335724800877,7.97447727345297,2.86200242156133)	'ST(0.47,0.091,7.974,2.862)'	q2.5%-0.46|q97.5%-0.87	B(0.46,0.87,1e-300,1e-300)
schisandraceae	0.475553009145353	0.0654474391006295	17.1024603498271	2.82165271983664	ST(0.475553009145353,0.0654474391006295,17.1024603498271,2.82165271983664)	'ST(0.476,0.065,17.102,2.822)'	q2.5%-0.48|q97.5%-0.75	B(0.48,0.75,1e-300,1e-300)
torricelliaceae	0.600320233924758	0.229493925504878	26.0889692900195	2.58259269731959	ST(0.600320233924758,0.229493925504878,26.0889692900195,2.58259269731959)	'ST(0.6,0.229,26.089,2.583)'	q2.5%-0.61|q97.5%-1.69	B(0.61,1.69,1e-300,1e-300)
trochodendraceae	0.675220940195551	0.172837102483926	648.850629758939	3.9656186095347	ST(0.675220940195551,0.172837102483926,648.850629758939,3.9656186095347)	'ST(0.675,0.173,648.851,3.966)'	q2.5%-0.68|q97.5%-1.3	B(0.68,1.3,1e-300,1e-300)
typhaceae	0.649446970495571	0.0729693276881039	8.21181141464339	2.48373748208268	ST(0.649446970495571,0.0729693276881039,8.21181141464339,2.48373748208268)	'ST(0.649,0.073,8.212,2.484)'	q2.5%-0.65|q97.5%-1	B(0.65,1,1e-300,1e-300)
urticaceae	0.550377862381179	0.0703994027145093	43.8550643555214	2.59845265714922	ST(0.550377862381179,0.0703994027145093,43.8550643555214,2.59845265714922)	'ST(0.55,0.07,43.855,2.598)'	q2.5%-0.55|q97.5%-0.87	B(0.55,0.87,1e-300,1e-300)
violaceae	0.775465135074212	0.157651785752588	78.7104099776411	3.31287963064036	ST(0.775465135074212,0.157651785752588,78.7104099776411,3.31287963064036)	'ST(0.775,0.158,78.71,3.313)'	q2.5%-0.78|q97.5%-1.38	B(0.78,1.38,1e-300,1e-300)
vitaceae	0.701788977179878	0.0214877095992375	1.48455392614506	3.80186428566246	ST(0.701788977179878,0.0214877095992375,1.48455392614506,3.80186428566246)	'ST(0.702,0.021,1.485,3.802)'	q2.5%-0.68|q97.5%-0.78	B(0.68,0.78,1e-300,1e-300)
winteraceae	0.826402997450855	0.343822666629645	57.6445477803131	3.03542786105238	ST(0.826402997450855,0.343822666629645,57.6445477803131,3.03542786105238)	'ST(0.826,0.344,57.645,3.035)'	q2.5%-0.84|q97.5%-2.25	B(0.84,2.25,1e-300,1e-300)
