Mean_time	Mean_qlow	Mean_qup	Priors
t_n846	57.162	3.61	103.58	0
t_n847_Fabales	107.321	100.3	120.56	ST(1,0.096,372.385,2.742)
t_n848_Fabaceae	78.94	70.32	101.71	ST(0.7,0.049,154.092,2.512)
t_n849	68.657	38.05	92.96	0
t_n850	57.019	23.5	81.66	0
t_n851	44.279	12.55	74.28	0
t_n852	30.997	4.97	66.58	0
t_n853	17.195	0.52	49.68	0
t_n854	43.587	2.61	81.18	0
t_n855	63.656	4.07	121.66	0
t_n856	125.318	111.88	141.94	0
t_n857	119.041	105.72	135.25	0
t_n858	113.751	103.01	128.21	0
t_n859	109.231	101.31	121.96	0
t_n860	103.256	93.07	116.5	0
t_n861	97.855	89.48	108.97	0
t_n862_Brassicales	78.859	65.16	97.94	ST(0.646,0.095,8.124,2.708)
t_n863	69.709	41.31	91.45	0
t_n864	60.17	27.5	82.93	0
t_n865	49.661	18.34	76.58	0
t_n866	38.537	9.89	71.44	0
t_n867	27.239	4.02	60.88	0
t_n868	15.255	0.45	45.05	0
t_n869_Malvales	91.995	87.67	100.5	ST(0.875,0.084,312.101,2.83)
t_n870	64.469	18.04	92.39	0
t_n871	35.391	1.54	77.83	0
t_n872_Malvaceae	73.901	70.14	82.68	ST(0.7,0.046,649.782,6.267)
t_n873	40.315	2.3	74.08	0
t_n874	55.683	3.43	101.98	0
t_n875_Sapindales	103.107	100.11	110.19	ST(1,0.04,296.338,2.882)
t_n876	87.03	55.81	104.28	0
t_n877	68.188	25.39	97.88	0
t_n878	48.308	9.21	84.72	0
t_n879	26.463	0.99	71.13	0
t_n880	47.542	2.76	93.21	0
t_n881_Crossosomatales	78.121	61.85	112.06	ST(0.617,0.103,8.495,2.902)
t_n882	54.896	13.82	94.38	0
t_n883	29.831	1.25	73.58	0
t_n884	54.85	13.77	94.18	0
t_n885	29.834	1.2	73.81	0
t_n886	112.262	99.94	130.42	0
t_n887_Myrtales	101.616	97.63	111.92	ST(0.975,0.038,371.243,2.234)
t_n888	88.908	72.95	104.06	0
t_n889	63.132	17.19	95.26	0
t_n890	34.594	1.49	77.89	0
t_n891_Myrtaceae	75.2	70.17	86.82	ST(0.7,0.077,1175.373,8.242)
t_n892	41.175	2.46	75.7	0
t_n893	70.647	19.5	101.85	0
t_n894	38.501	1.72	85.81	0
t_n895	76.148	21.11	114.41	0
t_n896	41.549	1.92	94.18	0
t_n897_Vitaceae	71.702	68.18	76.85	ST(0.702,0.021,1.485,3.802)
t_n898_Saxifragales	121.771	106.47	140.94	ST(1.05,0.05,436.515,2.521)
t_n899	115.352	100.66	133.75	0
t_n900	110.062	95.54	127.5	0
t_n901	105.407	91.09	122.08	0
t_n902	100.476	85.63	116.94	0
t_n903	95.651	81.21	110.7	0
t_n904	90.888	79.04	104.52	0
t_n905	86.092	77.77	99.75	0
t_n906_Haloragaceae	81.234	76.78	91.66	ST(0.775,0.126,21.366,3.141)
t_n907	54.249	3.29	100.83	0
t_n908	85.561	47.01	111.67	0
t_n909	60.299	14.28	98.5	0
t_n910	32.979	1.37	77.81	0
t_n911	46.698	2.74	95	0
t_n912	60.02	3.89	113.73	0
t_n913	110.368	97.71	129.04	0
t_n914_Hamamelidaceae	101.049	95.21	113.76	ST(0.95,0.087,1061.88,3.907)
t_n915	77.828	32.82	103.58	0
t_n916	42.625	2.29	88.5	0
t_n917	42.724	2.31	88.49	0
t_n918	54.356	3.5	99.67	0
t_n919	57.891	3.62	108.15	0
t_n920	134.633	122.61	150.25	0
t_n921	133.13	121.39	148.7	0
t_n922	131.641	120.33	147.18	0
t_n923	130.165	119.33	145.43	0
t_n924	128.175	118.04	143.04	0
t_n925	126.283	116.81	140.48	0
t_n926	123.852	114.37	137.62	0
t_n927	121.206	110.42	134.46	0
t_n928	118.705	107.49	131.17	0
t_n929	115.497	104.61	127.25	0
t_n930	112.362	102.43	123.77	0
t_n931	109.42	100.61	120.59	0
t_n932	105.097	97.11	116.77	0
t_n933_Dipsacales	100.871	95.28	111.13	ST(0.95,0.059,454.689,1.717)
t_n934	96.729	82.97	107.51	0
t_n935	92.617	77.13	104.77	0
t_n936	87.673	72.85	102.15	0
t_n937	82.147	66.59	98.65	0
t_n938	75.705	54.2	93.97	0
t_n939	65.689	34.15	86.61	0
t_n940	54.414	21.87	78.61	0
t_n941	42.177	11.49	72.94	0
t_n942	23.036	0.94	59.33	0
t_n943	23.041	0.98	59.43	0
t_n944	60.068	23.14	84.01	0
t_n945	42.149	8	74.97	0
t_n946	22.94	0.82	62.82	0
t_n947	65.238	25.46	90.57	0
t_n948	46.191	9.27	78.37	0
t_n949	25.233	0.94	67.54	0
t_n950	69.132	28.03	94.53	0
t_n951	48.936	9.84	81.77	0
t_n952	26.691	0.99	70.62	0
t_n953	76.445	39.51	98.76	0
t_n954	60.298	20.83	89.85	0
t_n955	42.483	7.51	77.42	0
t_n956	23.378	0.83	65.84	0
t_n957	52.583	3.13	96.61	0
t_n958_Adoxaceae	84.473	77.55	98.13	ST(0.775,0.065,12.265,2.333)
t_n959	67.232	27.28	89.82	0
t_n960	47.737	9.53	78.55	0
t_n961	26.007	0.93	68.73	0
t_n962	72.745	20.45	105.42	0
t_n963	39.825	1.79	89.48	0
t_n964_Apiales	104.287	96.37	115.53	ST(0.96,0.146,14.481,2.97)
t_n965_Torricelliaceae	98.177	84.66	110.5	ST(0.6,0.229,26.089,2.583)
t_n966	93.287	79.4	105.85	0
t_n967	88.444	76.67	102.17	0
t_n968_Araliaceae	83.128	74.55	97.25	ST(0.725,0.045,19.475,2.399)
t_n969	79.876	73.3	93.28	0
t_n970_Apiaceae	76.86	72.63	87.64	ST(0.725,0.142,170.401,3.245)
t_n971	70.863	50.72	82.23	0
t_n972	63.99	36.95	78.34	0
t_n973	54.716	24.92	74.37	0
t_n974	44.702	16.34	71.12	0
t_n975	34.622	8.8	64.88	0
t_n976	19.212	0.77	49.74	0
t_n977	19.144	0.78	49.8	0
t_n978	34.464	1.91	71.09	0
t_n979	42.767	2.61	76.58	0
t_n980	44.771	2.74	79.93	0
t_n981	76.908	59.54	92.76	0
t_n982	70.752	46.64	87.28	0
t_n983	62.753	33.13	80.64	0
t_n984	53.645	23.32	75.89	0
t_n985	37.278	7.72	70.35	0
t_n986	20.55	0.72	55.45	0
t_n987	37.295	7.58	70.34	0
t_n988	20.567	0.74	55.48	0
t_n989	38.836	2.28	75.28	0
t_n990_Pittosporaceae	53.114	42.86	75.49	ST(0.426,0.144,39.518,2.457)
t_n991	68.807	19.3	101.21	0
t_n992	37.826	1.73	83.37	0
t_n993	84.997	36.65	114.42	0
t_n994	46.261	2.52	97.1	0
t_n995	46.065	2.57	96.83	0
t_n996	97.635	67.74	119.17	0
t_n997	79.843	38.25	108.64	0
t_n998	62.562	20.87	98.19	0
t_n999	44.157	7.7	82.34	0
t_n1000	24.157	0.82	69.03	0
t_n1001	52.729	3.32	102.33	0
t_n1002	112.612	99.15	125.77	0
t_n1003	106.464	90.25	121.01	0
t_n1004	101.074	81.34	116.93	0
t_n1005	94.013	74.18	111.03	0
t_n1006	86.306	68.34	104.82	0
t_n1007	79.336	59.97	100.11	0
t_n1008_Asteraceae	70.424	52.19	91.85	ST(0.501,0.152,196.221,5.942)
t_n1009	63.903	38.59	85.4	0
t_n1010	57.327	29.24	79.74	0
t_n1011	50.2	22.42	75.57	0
t_n1012	42.727	16.09	72.17	0
t_n1013	30.016	5.64	63.08	0
t_n1014	16.766	0.55	46.87	0
t_n1015	30.036	5.58	63.51	0
t_n1016	16.719	0.55	46.88	0
t_n1017	49.773	12.09	79.77	0
t_n1018	27.174	1.1	69.82	0
t_n1019	56.366	14.37	88.36	0
t_n1020	30.709	1.25	73.4	0
t_n1021_Menyanthaceae	41.047	34.65	61.25	ST(0.35,0.046,6.373,2.287)
t_n1022	22.188	1.18	46.8	0
t_n1023	22.078	1.15	46.35	0
t_n1024	66.208	17.94	100.43	0
t_n1025	36.248	1.62	80.87	0
t_n1026	87.478	58.69	108.53	0
t_n1027	68.646	25.9	99.77	0
t_n1028	48.626	9.34	85.31	0
t_n1029	26.529	0.99	71.19	0
t_n1030	61.942	15.91	97.61	0
t_n1031	33.949	1.47	78.03	0
