family	likelihood	Nobs	Nfossils	root_obs	ext_obs	DA_count	root_est	root_m	root_M	root_est_mode	ext_est	ext_m	ext_M	ext_est_mode	q_est	q_m	q_M	q_est_mode	a_est	a_m	a_M	a_est_mode	sig2_est	sig2_m	sig2_M	sig2_est_mode
Dipsacales	-37.693379251068	2	42	95	2.5	1000	102.866826850877	95.0000567822361	120.015664708829	96.4842722950448	0	0	0	-0.000855233514925779	0.278667803460999	0.000113591261511957	0.610521289961628	0.178870253044324	1.9863250752901	0.267582978132287	3.65919171844694	1.83700985444599	-3.40794140514438	-6.26288625316835	-0.725125329688541	-3.25269544695215	
Ericales	-80.8127681307308	22	185	112.5	2.5	1000	124.744104955209	112.502030189944	147.451916654594	116.870591455539	0	0	0	-0.000855233514925779	0.025235683055352	8.84385207339253e-05	0.101221777810068	0.00416721842998004	2.89554461031551	1.18517598592949	4.38864283973109	2.9595411570052	2.68763362459301	-0.851567224066354	5.49802299534224	2.78247029824718	
Fabales	-38.5843644945695	4	34	100	2.5	1000	111.063775944301	100.000046458623	133.083016158485	103.632242654879	0	0	0	-0.000855233514925779	0.109549196459745	0.000216676367359785	0.3001650079557	0.0182998415650991	1.30664570140006	0.00132958930574372	2.99397237605828	0.446700507924032	-0.925195420891669	-4.71949035948761	3.38061110060878	-1.19222745709009	
Fagales	-60.5015591823229	7	144	100	2.5	1000	102.917841962776	100.001745003947	107.946815884337	101.616911773939	0	0	0	-0.000855233514925779	0.69811427563889	0.197659304553926	1.15811659327545	0.662903010502183	0.724221464827204	0.000467477868563104	1.63172185364852	0.525863978579683	-1.85077148934898	-3.76305213370392	-0.137873053116755	-1.66335845604556	
Garryales	-24.4594125507604	2	16	65	5	1000	76.8026047008997	65.0056928550237	99.0979699385989	69.4481672213077	0	0	0	-0.000855233514925779	0.0857428578707914	0.000202198105425974	0.292528504302664	0.0158468030480442	2.01821416257689	0.00205584313851759	4.448863915952	1.01803415537281	0.0969389716394288	-4.31089205043556	3.88634289466388	1.92898691199471	
Gentianales	-35.9020532759514	5	45	70	2.5	1000	78.2148437537108	72.5000731398708	91.9596543504786	73.8253950089664	0	0	0	-0.000855233514925779	0.317622306555226	0.004009584226055	0.687188647041406	0.208652509586374	1.64499859240342	0.00284544231187661	3.64290714510535	1.2850583635834	-1.7537707732536	-4.64250366203085	0.798536174914864	-1.7748697339673	
Lamiales	-50.4870455061416	24	84	72.5	2.5	1000	80.9372429216186	75.0013897479492	93.4640940611485	76.3157097424243	0	0	0	-0.000855233514925779	0.0867807287800329	0.000292006027142549	0.225137068462053	0.0207344264289142	1.85125608854948	0.00103577609908595	4.06095208613259	1.1885360049188	2.26319593099709	-0.106909335985611	5.14954654048392	1.8966410732056	
Laurales	-63.6701255682045	7	63	115	2.5	1000	121.49205138657	115.001316717504	131.725655967325	118.857129091335	0	0	0	-0.000855233514925779	0.206573349757838	0.0126425009278573	0.407707075362669	0.212041177156778	0.437564589353599	8.99984319871483e-06	1.2520229069547	0.0994100878794908	0.0126596722130514	-2.22322788519126	2.75284985821798	-0.543423853426264	
Magnoliales	-57.2146041441322	6	64	115	2.5	1000	121.574544835013	115.00044029727	134.08863711929	116.732640131895	0	0	0	-0.000855233514925779	0.234905592049556	0.00426334585101163	0.447306383160951	0.23154738413576	0.579710424237302	0.000285788879945237	1.64321983828262	0.131892108500257	-1.57678237006226	-5.44298590727633	1.99189577995175	-1.341031430141	
Malpighiales	-67.0100049540469	36	157	95	2.5	1000	105.302998040705	95.0045730246306	124.486724300851	98.9673977082384	0	0	0	-0.000855233514925779	0.0300720437616874	1.69812785992809e-05	0.112205801928772	0.00571748544173053	2.81195667007125	0.704612167495031	4.73441712143502	2.91186577355322	3.33553183623777	0.385131677603518	6.06448071831046	3.63228448509343	
Malvales	-45.0136414968608	10	55	87.5	2.5	1000	96.7746924872078	87.5022376448754	115.518453590884	91.2474093737313	0	0	0	-0.000855233514925779	0.136425256478948	0.000353841801557634	0.317563758929423	0.0338673469089191	1.3449955803779	7.13439872196964e-05	3.13223767861785	0.579294391580913	-0.503244366834618	-3.63405577766631	3.16916874676907	-0.73867215445148	
Myrtales	-58.2957978063722	9	98	95	2.5	1000	102.275800503794	97.5015916561171	112.594343386619	98.8795318525911	0	0	0	-0.000855233514925779	0.275386726418539	0.00108014337743842	0.589021043248179	0.190639658504097	1.10495348598148	8.60380517341275e-05	2.57909104878316	0.597770390565499	-0.676901286228875	-3.64485517426156	2.73300923327509	-1.12820615476069	
Nymphaeales	-40.0486851278103	3	44	102.5	2.5	1000	108.995360987524	102.500513434293	123.921929223927	103.802518363879	0	0	0	-0.000855233514925779	0.380153816497657	0.0100607623254084	0.756700493065272	0.302457662475092	0.985563114017594	0.00126553556229769	2.22947253052477	0.707967362374476	-3.31007488263211	-5.57558745455092	-0.934940006912393	-3.34239978479632	
Oxalidales	-44.6428799609627	7	44	87.5	2.5	1000	96.1220329113496	87.5008890583194	111.404849934604	91.6498101766647	0	0	0	-0.000855233514925779	0.144980559992088	8.96306448891971e-05	0.320848942840074	0.0463195489826782	1.04107163415121	0.000148466358010579	2.71601993448528	0.24738517279819	-0.364383743753336	-3.96320008115287	3.43795164018815	-0.415589258008723	
Pandanales	-29.9938183463871	5	12	97.5	5	1000	118.481914141237	97.6397916761147	155.469777211569	105.686334032338	0	0	0	-0.000855233514925779	0.0158722319156793	7.37388040164699e-05	0.0466285260095982	0.00497836163166153	0.695639528630537	0.000108961088105236	1.88088668801504	0.182323320568945	2.29683668927461	-0.670819109375434	4.93796573036252	3.03231992399934	
Piperales	-28.36968186284	3	17	102.5	5	1000	123.439564439299	102.502881575891	162.814764424263	109.123820194795	0	0	0	-0.000855233514925779	0.0189106624030201	5.26300997515543e-06	0.0834473006784462	0.00185130882230342	2.56682639072247	0.22016716045267	4.74680136358622	2.53639864372635	0.481249686666603	-4.31166231170973	4.26128549456585	2.30610193141747	
Poales	-44.7779602935503	14	71	72.5	2.5	1000	79.1667828370684	72.5000734171072	89.4452837359239	76.4625381933716	0	0	0	-0.000855233514925779	0.192761309120516	0.00752234697443834	0.369886338670856	0.207080416268345	0.953036759771999	0.000333947184356864	2.67015128006949	0.208491748344898	0.155279076537521	-2.95365467244099	3.56456532050325	0.507269924697191	
