family	likelihood	Nobs	Nfossils	root_obs	ext_obs	DA_count	root_est	root_m	root_M	root_est_mode	ext_est	ext_m	ext_M	ext_est_mode	q_est	q_m	q_M	q_est_mode	a_est	a_m	a_M	a_est_mode	sig2_est	sig2_m	sig2_M	sig2_est_mode
malvaceae	-104.674082311817	4225	103	67.5	2.5	944.956356525411	74.1997200541219	70.0004443411809	81.3379913512056	71.5259649691899	0	0	0	-0.000619866878336928	0.00123699060263325	0.000413246953028594	0.00201745883410837	0.00119131815362398	0.607760675989417	2.00796110216006e-05	1.60738204487169	0.108854060128875	11.8409203497107	10.606133999868	13.033173054903	12.0239394880277	
menispermaceae	-112.997151825985	440	82	90	5	999.730494877892	96.4071319480241	90.1494941395728	104.6673387954	93.6996668798405	0	0	0	-0.000619866878336928	0.00337043159875897	0.000822659366695419	0.00644410814337228	0.00262970961222892	0.675991095271754	2.66131145921777e-05	1.7055054002884	0.128518798940251	9.22288507064747	7.99594280318363	10.4155765909762	9.34094989832412	
menyanthaceae	-22.4991662798696	60	18	32.5	5	999.995688984689	40.5329535980277	32.5026091708844	52.2467859351125	36.1353292243515	0	0	0	-0.000619866878336928	0.013393406146009	5.10727202328641e-06	0.0325314288481809	0.00689976792261663	2.61870231034801	0.000208143225132934	6.64618059829413	0.531127288903123	5.56797574452985	2.7426744661359	7.92078688742414	6.30601623505597	
monimiaceae	-15.3127879184598	217	4	80	15	987.661647720143	122.451324025236	82.5025035610135	200.774410793607	93.4159962459475	0	0	0	-0.000635125249538682	0.000395531099522122	3.27563467462325e-07	0.0010747987235503	0.0001396393327751	0.780365700770334	1.82906283711093e-05	2.15413949462378	0.142671684301101	6.88524322273183	4.38743822463628	9.07874669476334	7.48584342956585	
myristicaceae	-14.819751223847	520	5	62.5	15	999.957356503189	93.4362020883476	64.9670090144491	151.400986010333	71.8867891200846	0	0	0	-0.000619866878336928	0.000304271264848488	1.2809462486781e-07	0.000782981009179846	0.000147349698957042	1.14642181471709	5.88667091820649e-06	3.06583159152435	0.200641659014111	7.7311405543951	5.05118104496561	9.96640860792906	8.30043965365675	
myrtaceae	-82.7979087865765	5950	64	67.5	2.5	953.467345170107	76.9039655199206	70.000059490316	87.4566565422641	73.630472515521	0	0	0	-0.000619866878336928	0.00058331492409892	0.000242543892719822	0.000948572488623434	0.00055964208645134	0.382883391726527	2.02126214887688e-06	1.09383577733668	0.0619482162347781	12.075763363266	10.7632034601888	13.2302697987699	12.2859714092991	
nyctaginaceae	-12.2202790681888	400	5	15	10	958.845358992022	27.8819356641695	17.5010902030673	47.7177031989899	21.024894794583	0	0	0	-0.000619866878336928	0.00191524622701483	1.05901336533605e-05	0.00454381224608472	0.00105169099103107	2.42314184819528	0.000487115785977599	6.82615604255786	0.412354503812654	8.22543972178453	5.83770111841661	10.0418557811531	8.76282446314123	
ochnaceae	-18.3701291339241	550	6	67.5	15	999.998688918024	100.12654021394	70.0015533865263	158.636291582973	78.5005618563479	0	0	0	-0.000619866878336928	0.000332000086605529	1.13652744347388e-06	0.000798962054742482	0.000190081749767271	0.841199199925304	2.5737390550451e-06	2.31169604080313	0.156290659391045	8.00488363464828	5.45195898301848	10.1303570693199	8.56071741826557	
orchidaceae	-14.8880210631844	28000	4	80	22.5	999.972245061221	139.080078272875	82.5014560814276	236.177282286506	103.812987520232	0	0	0	-0.000619866878336928	4.46581731902187e-06	2.67921872386886e-08	1.1083258864949e-05	1.98460928103453e-06	0.695573750088631	5.15341540474057e-05	1.93725183634692	0.122573955853768	11.8838973884017	9.2246047503291	14.0834050488279	12.4589205235783	
passifloraceae	-12.4218083627459	980	4	42.5	17.5	999.982911490856	70.7885059164192	45.0019109614539	123.113795981707	50.943495710979	0	0	0	-0.000619866878336928	0.000219512879764063	1.07027945149186e-06	0.000560454728453048	8.1898572695416e-05	1.40308904553934	7.65976776954669e-05	3.91365407817703	0.259635408553207	8.50414906177144	5.82730128144986	10.7066066236225	9.08383780043821	
phyllanthaceae	-33.8887624139739	2050	19	67.5	5	999.997000066665	83.9409317715644	70.0000330321775	113.10957352385	72.5218046821947	0	0	0	-0.000619866878336928	0.000248755117785514	1.41772171758734e-07	0.000651553611427235	5.11805226670125e-05	2.05714277081247	9.91426606210544e-05	4.45829861735491	1.46356919927043	9.46783285007659	7.22315144491509	11.4514670534748	9.83481972956307	
piperaceae	-13.3211163183494	3700	4	70	5	999.90464656341	109.73924536189	72.5011443982891	183.232813710621	81.5797823282034	0	0	0	-0.000619866878336928	3.60543296883286e-05	2.73312048185557e-08	9.6915557770097e-05	8.04703299052842e-06	1.22074706895259	9.25643631188855e-07	3.22616452377731	0.240626068779389	9.85980824963102	7.22342798722897	11.9981949041202	10.4488854253956	
