Mean_time	Mean_qlow	Mean_qup	Priors
t_n960	53.321	12.09	88.92	0
t_n961	30.741	1.24	70.52	0
t_n962	76.373	23.49	112.95	0
t_n963	43.162	2.08	93.55	0
t_n964_Apiales	110.824	98.45	122.4	B(0.96,1.59,0.025,0.025)
t_n965_Torricelliaceae	105.096	92.42	117.95	B(0.61,1.69,0.025,0.025)
t_n966	99.352	86.52	112.53	0
t_n967	94.303	82.14	106.29	0
t_n968_Araliaceae	88.741	78.3	94.59	B(0.73,0.94,0.025,0.025)
t_n969	84.092	73.82	93.15	0
t_n970_Apiaceae	79.455	70.94	90.5	B(0.73,1.28,0.025,0.025)
t_n971	72.092	53.85	85.99	0
t_n972	65.393	43.27	81.76	0
t_n973	57.312	29.86	76.55	0
t_n974	48.617	18.62	70.5	0
t_n975	39.23	10.34	65.57	0
t_n976	22.564	0.9	53.79	0
t_n977	22.522	0.87	53.6	0
t_n978	38.029	2.19	70.71	0
t_n979	45.759	3.1	80.12	0
t_n980	47.831	3.12	84.06	0
t_n981	80.653	62.58	92.78	0
t_n982	73.374	51.73	89.42	0
t_n983	65.351	39.98	84.12	0
t_n984	57.177	27.24	78.8	0
t_n985	42.024	9.05	69.73	0
t_n986	24.121	0.91	57.95	0
t_n987	41.992	8.95	69.87	0
t_n988	24.333	0.87	58.03	0
t_n989	42.466	2.63	78.17	0
t_n990_Pittosporaceae	59.685	40.97	92.25	B(0.43,1.11,0.025,0.025)
t_n991	72.924	21.92	106.76	0
t_n992	41.549	2.07	88.99	0
t_n993	87.853	42.17	119.35	0
t_n994	48.996	3.06	99.53	0
t_n995	49.037	2.87	99.72	0
t_n996	101.04	67.11	122.98	0
t_n997	82.022	44.44	114.36	0
t_n998	64.752	23.51	100.65	0
t_n999	47.152	8.94	85	0
t_n1000	27.177	0.95	67.71	0
t_n1001	55.06	3.89	105.73	0
t_n1002_Asterales	69.605	63.75	74.04	B(0.43,0.7,0.025,0.025)
t_n1003	68.222	60.47	73.25	0
t_n1004	66.969	58.18	72.62	0
t_n1005	65.267	55.94	71.84	0
t_n1006	63.212	53.78	70.82	0
t_n1007	60.911	51.79	69.73	0
t_n1008_Asteraceae	57.628	49.86	67.61	B(0.51,0.96,0.025,0.025)
t_n1009	52.136	35.55	64.97	0
t_n1010	47.246	25.45	61.91	0
t_n1011	42.223	19.37	58.44	0
t_n1012	36.874	13.51	55.23	0
t_n1013	26.963	4.82	49.93	0
t_n1014	15.486	0.48	42.68	0
t_n1015	26.954	4.83	49.92	0
t_n1016	15.431	0.49	42.37	0
t_n1017	41.741	10.42	61.92	0
t_n1018	24.032	0.96	53.03	0
t_n1019	44.188	11.54	65.37	0
t_n1020	25.64	1.02	55.66	0
t_n1021_Menyanthaceae	47.023	35.25	57.1	B(0.35,0.57,0.025,0.025)
t_n1022	26.477	1.37	52.22	0
t_n1023	26.557	1.38	52.21	0
t_n1024	48.085	12.81	68.75	0
t_n1025	27.631	1.15	59.99	0
t_n1026	60.397	40.65	70.94	0
t_n1027	48.788	18.5	68.26	0
t_n1028	35.726	6.61	61.97	0
t_n1029	20.507	0.67	51.04	0
t_n1030	44.301	10.62	67.56	0
t_n1031	25.567	1	56.9	0
t_n1032	64.592	48.37	72.37	0
t_n1033_Campanulaceae	53.676	25.99	69.4	B(0.21,0.92,0.025,0.025)
t_n1034	45.223	17.03	66.19	0
t_n1035	33.53	6.09	59.31	0
t_n1036	19.417	0.65	49.89	0
t_n1037	26.486	1.22	56.42	0
t_n1038	52.35	21.04	69.91	0
t_n1039	38.398	7.44	65.15	0
t_n1040	22.138	0.79	53.69	0
t_n1041	107.987	75.9	127.06	0
t_n1042	90.057	54	119.47	0
t_n1043	63.83	17.45	103.55	0
t_n1044	36.668	1.6	81.87	0
t_n1045	63.861	17.76	103.64	0
t_n1046	36.65	1.66	81.92	0
t_n1047	74.245	22.11	115.88	0
t_n1048	41.998	1.98	92.73	0
t_n1049	121.006	109	131.15	0
t_n1050	116.173	102.1	127.78	0
t_n1051	111.398	98.05	124.03	0
t_n1052	106.648	94.38	120.25	0
t_n1053	100.593	88.2	114.41	0
t_n1054_Lamiales	93.319	80.26	99.69	B(0.75,0.99,0.025,0.025)
t_n1055	88.989	74.32	98.41	0
t_n1056	84.712	68.96	96.74	0
t_n1057	80.57	64.71	94.56	0
t_n1058	76.135	58.41	91.59	0
t_n1059	71.195	51.93	87.63	0
t_n1060	66.395	45.88	83.56	0
t_n1061	61.569	39.21	79.61	0
t_n1062	53.943	26.03	74.09	0
t_n1063	43.45	13.48	68.23	0
t_n1064	31.793	5.25	60.14	0
t_n1065	18.185	0.56	48.87	0
t_n1066	31.201	1.69	64.33	0
t_n1067	49.692	18.78	72.16	0
t_n1068	36.494	6.7	65.58	0
t_n1069	21	0.7	52.8	0
t_n1070	55.952	15.52	82.49	0
t_n1071	32.393	1.38	69.4	0
t_n1072	58.781	16.8	86.02	0
t_n1073	33.881	1.48	71.83	0
t_n1074	50.45	3.47	90.2	0
t_n1075_Solanales	85.971	60.43	101.77	B(0.56,1.02,0.025,0.025)
t_n1076	71.342	39.31	96.28	0
t_n1077	52.309	12.55	84.94	0
t_n1078	30.173	1.15	69.54	0
t_n1079	41.31	2.34	81.24	0
t_n1080	61.851	17.84	94.02	0
t_n1081	35.699	1.78	77.32	0
t_n1082	96.651	79.47	113.05	0
t_n1083_Gentianales	86.525	73.18	99.57	B(0.73,1,0.025,0.025)
t_n1084	71.774	41.74	94.28	0
t_n1085	57.599	21.09	85.05	0
t_n1086	42.306	7.81	73.75	0
t_n1087	24.433	0.81	60.79	0
t_n1088	62.148	18.61	91.93	0
t_n1089	35.99	1.7	75.86	0
t_n1090_Boraginaceae	71.233	54.63	95.44	B(0.55,0.97,0.025,0.025)
t_n1091	40.722	2.43	80.06	0
t_n1092	96.503	68.39	122.73	0
t_n1093_Garryales	76.316	63.47	103.62	B(0.65,1.08,0.025,0.025)
t_n1094_Ericales	122.457	113.05	132.63	B(1.13,1.58,0.025,0.025)
t_n1095	115.196	97.23	128.26	0
t_n1096	108.619	89.21	124.27	0
t_n1097	101.749	81.42	120.14	0
t_n1098	89.32	62.48	113.41	0
t_n1099	78.084	49.15	104.35	0
t_n1100	65.45	31.49	95.2	0
t_n1101	47.895	10.31	81.34	0
t_n1102	27.54	1.04	66.49	0
t_n1103	37.756	2.17	76.87	0
t_n1104	44.527	2.7	86.22	0
t_n1105	91.504	71.91	113.88	0
t_n1106_Primulaceae	81.044	67.97	103.85	B(0.7,1.23,0.025,0.025)
t_n1107	64.257	28.26	92.9	0
t_n1108	47.153	9.76	79.18	0
t_n1109	27.325	1.01	65.45	0
t_n1110	51.281	3.59	95.62	0
t_n1111	74.838	22.87	113.21	0
t_n1112	42.42	2.05	91.97	0
t_n1113	82.103	25.17	122.09	0
t_n1114	45.922	2.36	99.98	0
t_n1115_Cornales	107.998	90.73	120.4	B(0.9,1.2,0.025,0.025)
t_n1116	82.143	40.07	114.39	0
t_n1117	58.834	13.71	99.28	0
t_n1118	33.742	1.35	77.56	0
t_n1119	58.17	3.84	108.45	0
t_n1120_Caryophyllales	125.602	113.9	135.47	B(0.89,1.47,0.025,0.025)
t_n1121	119.682	102.34	131.64	0
t_n1122	114.28	95.48	128.3	0
t_n1123	109.027	89.37	124.95	0
t_n1124	103.768	82.89	121.5	0
t_n1125	98.296	77.42	117.68	0
t_n1126	93.08	71.72	113.55	0
t_n1127	88.171	67.84	108.43	0
t_n1128	80.346	57.73	101.4	0
t_n1129	73.005	49.15	95.94	0
t_n1130	65.903	40.18	89.48	0
t_n1131	53.078	19.73	79.77	0
t_n1132	30.769	1.49	66.8	0
t_n1133	30.691	1.45	67.03	0
t_n1134	53.161	20.11	79.72	0
t_n1135	38.988	7.25	69.56	0
t_n1136	22.375	0.72	56.19	0
t_n1137	78.661	55.23	100.58	0
t_n1138	69.902	45.28	94.05	0
t_n1139	59.748	33.75	84.04	0
t_n1140	49.482	23.68	73.83	0
t_n1141_Nyctaginaceae	32.68	17.68	53.81	B(0.18,0.56,0.025,0.025)
t_n1142	17.825	0.8	44.61	0
t_n1143	28.241	1.4	62.07	0
t_n1144	40.408	2.41	77.75	0
t_n1145	75.901	35.36	109.68	0
t_n1146	50.468	18.94	91.07	0
t_n1147_Amaranthaceae	19.051	12.98	25.01	B(0.13,0.25,0.025,0.025)
t_n1148	9.963	0.47	22.89	0
t_n1149	58.75	4.09	109.67	0
t_n1150	112.611	84.77	129.7	0
t_n1151	92.77	59.35	121.79	0
t_n1152	71.901	43.11	107.25	0
t_n1153_Polygonaceae	45.154	34.91	56.84	B(0.35,0.57,0.025,0.025)
t_n1154	24.746	1.24	51.06	0
t_n1155	40.906	2.35	84.04	0
t_n1156	51.648	3.21	101.18	0
t_n1157	93.287	57.09	121.95	0
t_n1158	72.443	29.95	109.54	0
t_n1159	52.528	10.61	93.15	0
t_n1160	30.19	1.13	71.44	0
t_n1161	51.938	3.36	101.26	0
t_n1162	66.957	4.77	126.37	0
