Mean_time	Mean_qlow	Mean_qup	Priors
t_n1219	46.042	10.21	77.84	0
t_n1220	26.534	1.02	64.02	0
t_n1221_Orchidaceae	91.603	73.34	111.2	B(0.86,2.61,0.025,0.025)
t_n1222	79.527	24.18	119.55	0
t_n1223	44.648	2.24	97.12	0
t_n1224	115.078	100.27	130.11	0
t_n1225_Pandanales	106.781	96.25	122.87	B(1,1.69,0.025,0.025)
t_n1226_Alismatales	100.011	84.53	110.44	B(0.83,1.1,0.025,0.025)
t_n1227	84.385	53.68	106.16	0
t_n1228	66.783	27.32	97.45	0
t_n1229	38.455	2.03	79.47	0
t_n1230	38.48	1.97	79.29	0
t_n1231	47.807	3.02	91.94	0
t_n1232_Araceae	81.374	73	89.98	B(0.73,0.9,0.025,0.025)
t_n1233	59.107	17.38	84.04	0
t_n1234	34.24	1.54	71.01	0
t_n1235	138.307	127.96	150.59	0
t_n1236	133.738	124.82	147.4	0
t_n1237_Laurales	127.888	118.07	134.96	B(1.15,1.35,0.025,0.025)
t_n1238	123.201	113.57	132.68	0
t_n1239_Lauraceae	118.034	110.36	129.19	B(1.12,1.59,0.025,0.025)
t_n1240_Monimiaceae	101.42	80.76	121.91	B(0.85,2.27,0.025,0.025)
t_n1241	55.538	3.89	103.85	0
t_n1242	55.562	3.85	103.9	0
t_n1243	62.084	4.34	115.15	0
t_n1244	107.261	83.39	127.33	0
t_n1245_Atherospermataceae	93.126	77.32	118.44	B(0.8,1.53,0.025,0.025)
t_n1246	51.854	3.62	97.55	0
