Mean_time	Mean_qlow	Mean_qup	Priors
t_n995	48.854	2.9	99.46	0
t_n996	100.828	66.14	121.66	0
t_n997	81.882	43.6	113.78	0
t_n998	64.386	23.15	100.47	0
t_n999	46.786	8.9	85.74	0
t_n1000	26.989	0.9	66.75	0
t_n1001	54.965	3.67	105.39	0
t_n1002_Asterales	68.029	62.38	69.95	B(0.43,0.7,1e-300,1e-300)
t_n1003	66.569	59.34	69.73	0
t_n1004	65.336	57.53	69.49	0
t_n1005	63.749	55.78	69.11	0
t_n1006	61.923	54.03	68.54	0
t_n1007	59.956	52.5	67.67	0
t_n1008_Asteraceae	57.202	51.3	65.91	B(0.51,0.96,1e-300,1e-300)
t_n1009	51.673	35.76	63.14	0
t_n1010	46.774	25.66	60.24	0
t_n1011	41.734	19.48	57.26	0
t_n1012	36.499	13.53	54.11	0
t_n1013	26.801	4.94	49.28	0
t_n1014	15.397	0.5	41.92	0
t_n1015	26.786	4.87	49.21	0
t_n1016	15.359	0.47	41.91	0
t_n1017	41.257	10.45	60.39	0
t_n1018	23.83	0.93	52.18	0
t_n1019	43.473	11.2	63.55	0
t_n1020	25.028	0.99	54.38	0
t_n1021_Menyanthaceae	46.9	35.69	56.52	B(0.35,0.57,1e-300,1e-300)
t_n1022	26.439	1.45	51.68	0
t_n1023	26.351	1.38	51.66	0
t_n1024	46.965	12.51	66.79	0
t_n1025	27.067	1.13	58.19	0
t_n1026	58.957	39.71	68.65	0
t_n1027	47.584	18.22	66.21	0
t_n1028	34.906	6.43	59.91	0
t_n1029	20.053	0.69	50.4	0
t_n1030	43.459	10.78	65.53	0
t_n1031	24.99	0.99	55.91	0
t_n1032	63.001	47.87	69.47	0
t_n1033_Campanulaceae	52.702	26.61	67.6	B(0.21,0.92,1e-300,1e-300)
t_n1034	44.458	17.76	64.33	0
t_n1035	32.881	6.21	57.86	0
t_n1036	19.029	0.63	48.98	0
t_n1037	26.075	1.23	55.74	0
t_n1038	51.038	20.83	67.89	0
t_n1039	37.46	7.2	62.93	0
t_n1040	21.517	0.71	52.44	0
t_n1041	107.619	76.85	124.72	0
t_n1042	89.929	53.63	118.78	0
t_n1043	63.611	17.27	103.6	0
t_n1044	36.317	1.64	82.12	0
t_n1045	63.604	17.52	103.59	0
t_n1046	36.226	1.63	82.19	0
t_n1047	74.149	22.84	115.14	0
t_n1048	41.927	2.13	93.05	0
t_n1049	119.724	108.3	127.23	0
t_n1050	115.199	101.73	125.07	0
t_n1051	110.542	97.72	122.47	0
t_n1052	105.925	94.31	119.3	0
t_n1053	99.997	88.07	113.22	0
t_n1054_Lamiales	92.941	80.35	98.8	B(0.75,0.99,1e-300,1e-300)
t_n1055	88.697	74.2	97.8	0
t_n1056	84.432	67.93	96.32	0
t_n1057	80.262	63.5	94.13	0
t_n1058	75.706	57.79	91.24	0
t_n1059	70.572	51.63	87.4	0
t_n1060	65.577	45.43	83.2	0
t_n1061	60.624	38.35	79.57	0
t_n1062	53.023	25.66	73.58	0
t_n1063	42.733	13.33	66.81	0
t_n1064	31.348	5.13	59	0
t_n1065	17.969	0.54	48.28	0
t_n1066	30.667	1.6	62.6	0
t_n1067	48.872	18.37	71.69	0
t_n1068	35.859	6.66	63.89	0
t_n1069	20.659	0.69	52.04	0
t_n1070	55.048	15.3	82.18	0
t_n1071	31.853	1.47	68.1	0
t_n1072	57.999	17.07	85.45	0
t_n1073	33.506	1.52	71.01	0
t_n1074	49.797	3.3	89.83	0
t_n1075_Solanales	85.206	60.38	100.81	B(0.56,1.02,1e-300,1e-300)
t_n1076	70.638	38.42	95.64	0
t_n1077	51.396	12.39	84.48	0
t_n1078	29.674	1.21	68.07	0
t_n1079	40.691	2.4	81.18	0
t_n1080	60.883	17.56	93.32	0
t_n1081	35.068	1.61	76.87	0
t_n1082	96.372	79.7	112.12	0
t_n1083_Gentianales	86.546	73.83	98.96	B(0.73,1,1e-300,1e-300)
t_n1084	71.372	40.88	93.84	0
t_n1085	57.056	21.26	84.74	0
t_n1086	41.801	7.8	73.91	0
t_n1087	24.045	0.83	59.8	0
t_n1088	61.818	18.58	91.79	0
t_n1089	35.535	1.58	75.75	0
t_n1090_Boraginaceae	71.279	55.74	94.71	B(0.55,0.97,1e-300,1e-300)
t_n1091	40.69	2.54	79.61	0
t_n1092	97.221	69.08	121.65	0
t_n1093_Garryales	77.505	65.27	103.34	B(0.65,1.08,1e-300,1e-300)
t_n1094_Ericales	121.124	113.82	127.71	B(1.13,1.58,1e-300,1e-300)
t_n1095	114.743	98.16	125.38	0
t_n1096	108.62	90.63	122.74	0
t_n1097	102.17	82.93	119.58	0
t_n1098	89.781	62.1	112.89	0
t_n1099	78.316	49.07	104.17	0
t_n1100	65.302	31.83	95.46	0
t_n1101	47.562	10.57	81.21	0
t_n1102	27.408	1.04	65.7	0
t_n1103	37.575	2.1	77.32	0
t_n1104	44.485	2.77	87.15	0
t_n1105	92.625	74.8	113.18	0
t_n1106_Primulaceae	82.611	70.48	104	B(0.7,1.23,1e-300,1e-300)
t_n1107	64.95	29.36	92.99	0
t_n1108	47.474	10.17	79.76	0
t_n1109	27.339	1.06	64.76	0
t_n1110	51.487	3.46	96.22	0
t_n1111	74.942	23.28	112.84	0
t_n1112	42.218	2.09	92.63	0
