Mean_time	Mean_qlow	Mean_qup	Priors
t_n910	52.409	24.45	79.43	0
t_n911	47.161	20.98	76.68	0
t_n912	50.761	19.37	93.06	0
t_n913_Altingiaceae	98.67	95.16	101.68	B(0.71,1,0.025,0.025)
t_n914_Hamamelidaceae	96.369	93.18	99.79	B(0.95,1.26,0.025,0.025)
t_n915	69.465	31.41	95.45	0
t_n916	25.028	13.74	50.75	0
t_n917	28.045	12.88	67.51	0
t_n918	87.152	54.54	97.41	0
t_n919	15.299	4.94	26.53	0
t_n920	133.836	129.52	138.36	0
t_n921	132.233	127.8	136.81	0
t_n922	131.242	126.82	135.84	0
t_n923	128.653	124.15	133.33	0
t_n924	123.584	119.32	128.23	0
t_n925	121.67	117.51	126.26	0
t_n926	115.476	110.71	120.66	0
t_n927	112.177	107.1	117.56	0
t_n928	104.698	100.34	110.06	0
t_n929	103.524	99.41	108.87	0
t_n930	102.498	98.54	107.76	0
t_n931	101.591	97.76	106.77	0
t_n932	99.717	95.71	104.75	0
t_n933_Dipsacales	94.56	90.49	98.45	B(0.95,1.38,0.025,0.025)
t_n934	73.676	61.18	84.33	0
t_n935	71.281	59.16	81.92	0
t_n936	63.976	52.88	75	0
t_n937	61.262	50.76	72.59	0
t_n938	57.56	47.56	68.94	0
t_n939	50.737	40.59	61.76	0
t_n940	43.705	32.8	54.41	0
t_n941	33.836	24.41	45.29	0
t_n942	22.035	14.57	32.19	0
t_n943	21.827	14.66	31.5	0
t_n944	46.969	32.62	59.7	0
t_n945	28.054	18.94	43.47	0
t_n946	21.402	12.82	34.26	0
t_n947	53.452	40.36	67.04	0
t_n948	37.194	22.78	52.92	0
t_n949	23.421	14.24	39.22	0
t_n950	21.412	9.8	30.35	0
t_n951	18.602	6.93	26.17	0
t_n952	15.608	4.02	23.42	0
t_n953	63.069	43.81	77.18	0
t_n954	24.893	17.94	37.65	0
t_n955	22.587	16.2	33.48	0
t_n956	19.555	12.39	28.56	0
t_n957	32.671	11.95	66.89	0
t_n958_Adoxaceae	82.091	76.65	90.54	B(0.78,1.1,0.025,0.025)
t_n959	46.067	25.22	69.76	0
t_n960	25.486	15.63	43.25	0
t_n961	18.535	7.24	29.53	0
t_n962	76.318	42.41	97.21	0
t_n963	55.869	20.56	87.05	0
t_n964_Apiales	97.785	93.65	103.15	B(0.96,1.59,0.025,0.025)
t_n965_Torricelliaceae	86.623	79.74	94.17	B(0.61,1.69,0.025,0.025)
t_n966	83.835	77.78	91.19	0
t_n967	78.317	73.95	84.6	0
t_n968_Araliaceae	75.813	72.49	81.6	B(0.73,0.94,0.025,0.025)
t_n969	74.899	71.23	80.57	0
t_n970_Apiaceae	73.675	69.79	79.24	B(0.73,1.28,0.025,0.025)
t_n971	64.647	53.59	72.82	0
t_n972	55.573	44.97	65.75	0
t_n973	46.472	35.56	57.03	0
t_n974	29.127	21.64	39.04	0
t_n975	23.451	16.61	31.24	0
t_n976	16.185	6.17	23.76	0
t_n977	16.604	5.64	24.56	0
t_n978	38.29	17.88	56.48	0
t_n979	66.859	47.36	76.2	0
t_n980	23.206	10.02	47.15	0
t_n981	38.552	24.32	60.43	0
t_n982	23.899	19.08	30.06	0
t_n983	22.753	18.17	28.33	0
t_n984	21.653	17.21	26.84	0
t_n985	20.55	16.01	25.77	0
t_n986	19.081	14.27	24.35	0
t_n987	19.883	15.46	24.97	0
t_n988	18.493	13.83	23.59	0
t_n989	20.402	14.53	26.81	0
t_n990_Pittosporaceae	47.235	38.33	62.37	B(0.43,1.11,0.025,0.025)
t_n991	48.046	21.07	76.57	0
t_n992	43.806	18.62	72.91	0
t_n993	92.859	72.71	102.7	0
t_n994	48.403	19.92	78.21	0
t_n995	16.433	3.17	33.55	0
t_n996	95.633	76.7	104.73	0
t_n997	87.849	67.39	100.7	0
t_n998	81.155	59.51	97.1	0
t_n999	23.152	9.39	42.38	0
t_n1000	14.913	3.1	26.56	0
t_n1001	85.71	51.61	101.29	0
t_n1002_Asterales	73.869	69.06	80.45	B(0.43,0.7,0.025,0.025)
t_n1003	72.559	67.21	79.14	0
t_n1004	69.504	63.62	76.04	0
t_n1005	68.991	63.05	75.53	0
t_n1006	64.935	59.06	71.63	0
t_n1007	58.152	52.96	64.5	0
t_n1008_Asteraceae	52.75	48.38	58.48	B(0.51,0.96,0.025,0.025)
t_n1009	50.145	44.64	56.25	0
t_n1010	41.146	31.87	49.1	0
t_n1011	36.541	27.67	45.42	0
t_n1012	30.379	23.42	38.88	0
t_n1013	20.673	14.16	27.1	0
t_n1014	18.76	10.62	25.07	0
t_n1015	24.751	18.56	32.77	0
t_n1016	19.766	12.41	26.81	0
t_n1017	29.234	18.74	45.16	0
t_n1018	20.845	10.63	33.54	0
t_n1019	45.907	36.3	54.13	0
t_n1020	24.697	16.81	35.83	0
t_n1021_Menyanthaceae	46.047	35.64	56.41	B(0.35,0.57,0.025,0.025)
t_n1022	21.092	5.41	39.85	0
t_n1023	23.681	14.77	38.16	0
t_n1024	60.469	47.26	71	0
t_n1025	39.555	20.87	55.84	0
t_n1026	65.618	55.33	73.81	0
t_n1027	36.744	20.86	55.27	0
t_n1028	30.507	17.75	50.24	0
t_n1029	17.849	5.38	31.4	0
t_n1030	62.185	48.82	72.26	0
t_n1031	24.272	14.07	44.75	0
t_n1032	68.282	61.06	75.41	0
t_n1033_Campanulaceae	54.755	44.79	63.74	B(0.21,0.92,0.025,0.025)
t_n1034	50.802	41.12	59.76	0
t_n1035	45.514	33.92	55.19	0
t_n1036	22.905	14.6	34.94	0
t_n1037	26.576	16.86	42.26	0
t_n1038	57.654	44.86	69.17	0
t_n1039	39.4	21.86	54.98	0
t_n1040	18.567	5.95	30.59	0
t_n1041	102.884	88.23	112.61	0
t_n1042	86.626	64.95	102.98	0
t_n1043	72.202	48.2	95.11	0
t_n1044	61.826	32.84	87.93	0
t_n1045	29.042	16.69	52.95	0
t_n1046	18.622	5.59	33.56	0
t_n1047	67.88	45.43	91.07	0
t_n1048	57.863	35.42	81.61	0
t_n1049	112.504	107.14	118.05	0
t_n1050	111.168	105.46	116.89	0
t_n1051	102.223	95.92	108.31	0
t_n1052	99.216	92.7	105.26	0
t_n1053	97.534	90.74	103.72	0
t_n1054_Lamiales	85.095	75.93	94.59	B(0.75,0.99,0.025,0.025)
t_n1055	77.753	68.44	87.99	0
t_n1056	75.059	65.56	85.56	0
t_n1057	64.798	54.9	76.16	0
t_n1058	60.015	50.53	71.92	0
t_n1059	58.56	49.23	70.5	0
t_n1060	57.376	48.19	69.35	0
t_n1061	56.716	47.56	68.74	0
t_n1062	54.195	44.4	66.41	0
t_n1063	45.636	31.66	57.83	0
t_n1064	43.501	29.04	55.79	0
t_n1065	32.734	19.96	47.33	0
t_n1066	44.168	22.63	59.75	0
t_n1067	54.708	45.17	66.98	0
t_n1068	51.236	41.33	63.76	0
t_n1069	46.469	34.67	59.22	0
t_n1070	57.619	46.6	70.34	0
t_n1071	46.205	26.99	61.79	0
t_n1072	56.489	44.37	70.07	0
t_n1073	51.597	37.75	66.47	0
t_n1074	40.214	18.58	64.75	0
t_n1075_Solanales	89.056	78.15	97.7	B(0.56,1.02,0.025,0.025)
t_n1076	79.076	65.46	90.78	0
t_n1077	27.315	17.97	48.32	0
t_n1078	21.748	13.18	39.8	0
t_n1079	46.371	26.25	63.96	0
t_n1080	78.703	64.7	90.74	0
t_n1081	60.164	42.72	77.03	0
t_n1082	96.044	88.03	102.49	0
t_n1083_Gentianales	80.84	72.87	90.87	B(0.73,1,0.025,0.025)
t_n1084	72.294	58.14	83.8	0
t_n1085	68.734	53.87	80.6	0
t_n1086	65.121	49.74	77.5	0
t_n1087	40.536	21.13	58.12	0
t_n1088	64.099	46.84	79.74	0
t_n1089	56.375	39.02	73.86	0
t_n1090_Boraginaceae	66.555	54.59	84.5	B(0.55,0.97,0.025,0.025)
t_n1091	62.737	48.03	81.3	0
t_n1092	102.472	82.84	114.03	0
t_n1093_Garryales	82.062	64.72	102.14	B(0.65,1.08,0.025,0.025)
t_n1094_Ericales	112.655	108.15	116.78	B(1.13,1.58,0.025,0.025)
t_n1095	104.393	91.17	112.13	0
t_n1096	96.686	79.81	105.92	0
t_n1097	95.951	79.06	105.32	0
t_n1098	89.888	72.66	101.56	0
t_n1099	88.547	71.4	100.67	0
t_n1100	79.895	61.95	95.55	0
t_n1101	66.577	48.43	84.53	0
t_n1102	56.454	38.19	75.73	0
t_n1103	69.583	48.47	88.02	0
t_n1104	72.678	50.02	91.46	0
t_n1105	94.717	77.57	104.43	0
t_n1106_Primulaceae	88.649	71.45	99.8	B(0.7,1.23,0.025,0.025)
t_n1107	69.479	52.49	84.55	0
t_n1108	54	38.1	70.82	0
t_n1109	37.036	21.16	54.15	0
t_n1110	79.996	51.06	98.38	0
t_n1111	87.172	63.77	101.21	0
t_n1112	6.071	0.05	28.63	0
t_n1113	64.211	44.29	86.13	0
t_n1114	57.118	36.12	79.61	0
t_n1115_Cornales	104.923	90.78	118.3	B(0.9,1.2,0.025,0.025)
t_n1116	100.263	82.48	115.04	0
