Mean_time	Mean_qlow	Mean_qup	Priors
t_n848_Fabaceae	90.712	82.27	93.91	B(0.7,0.94,1e-300,1e-300)
t_n849	78.888	66.48	87.93	0
t_n850	59.038	46.3	71.86	0
t_n851	50.495	37.94	63.79	0
t_n852	33.315	22.14	48.62	0
t_n853	24.234	15.91	39.13	0
t_n854	85.106	67.78	93.03	0
t_n855	73.642	45.4	100.8	0
t_n856	120.305	116.92	122.96	0
t_n857	117.482	113.42	120.81	0
t_n858	116.194	111.7	119.95	0
t_n859	111.106	106.65	115.35	0
t_n860	108.619	103.49	113.46	0
t_n861	102.619	97.13	108.65	0
t_n862_Brassicales	89.821	78	99.45	B(0.64,1.07,1e-300,1e-300)
t_n863	87.233	75.11	97.46	0
t_n864	78.651	65.72	90.1	0
t_n865	70.662	57.84	83	0
t_n866	62.097	49.46	75.3	0
t_n867	46.714	34.03	59.71	0
t_n868	20.706	12.65	30.02	0
t_n869_Malvales	90.316	88.06	95.63	B(0.88,1.25,1e-300,1e-300)
t_n870	77.782	61.62	88.48	0
t_n871	49.943	29.22	67.06	0
t_n872_Malvaceae	80.175	71.75	83.89	B(0.7,0.84,1e-300,1e-300)
t_n873	38.923	18.32	63.55	0
t_n874	57.764	22.97	95.38	0
t_n875_Sapindales	101.726	100.05	105.54	B(1,1.18,1e-300,1e-300)
t_n876	92.923	70.66	101.4	0
t_n877	90.027	67.52	99.63	0
t_n878	51.75	27.16	74.48	0
t_n879	41.094	19.58	64.05	0
t_n880	75.117	45.14	94.94	0
t_n881_Crossosomatales	98.999	79.76	105.81	B(0.61,1.06,1e-300,1e-300)
t_n882	47.436	23.8	72.99	0
t_n883	36.804	17.48	62.19	0
t_n884	75.056	47.73	97.73	0
t_n885	32.575	16.03	62.73	0
t_n886	116.201	110.87	120.26	0
t_n887_Myrtales	102.041	98.19	108.41	B(0.98,1.18,1e-300,1e-300)
t_n888	95.084	85.42	102.46	0
t_n889	70.419	51.8	86.48	0
t_n890	48.542	27.08	66.84	0
t_n891_Myrtaceae	77.42	70.29	88.77	B(0.7,0.91,1e-300,1e-300)
t_n892	36.122	16.6	63.77	0
t_n893	96.785	84.59	104.68	0
t_n894	62.698	42.33	83.14	0
t_n895	103.71	87.96	114.43	0
t_n896	74.007	45.91	99.54	0
t_n897_Vitaceae	72.008	68.12	77.58	B(0.68,0.78,1e-300,1e-300)
t_n898_Saxifragales	117.763	111.9	122.26	B(1.05,1.29,1e-300,1e-300)
t_n899	115.073	109.06	120.07	0
t_n900	114.236	108.1	119.44	0
t_n901	112.172	106.02	117.77	0
t_n902	105.117	99.27	110.99	0
t_n903	98.685	92.88	104.14	0
t_n904	95.921	90	101.24	0
t_n905	89.678	84.8	95.52	0
t_n906_Haloragaceae	79.085	78.03	81.87	B(0.78,1.28,1e-300,1e-300)
t_n907	46.156	22.67	68.99	0
t_n908	97.084	73.35	109.81	0
t_n909	82.38	54.63	101.06	0
t_n910	50.963	23.16	78.56	0
t_n911	46.691	20.81	76.2	0
t_n912	48.165	18.48	89.5	0
t_n913_Altingiaceae	98.548	96.19	99.94	B(0.71,1,1e-300,1e-300)
t_n914_Hamamelidaceae	96.682	95.07	98.99	B(0.95,1.26,1e-300,1e-300)
t_n915	69.244	30.56	95.73	0
t_n916	24.819	13.44	51.62	0
t_n917	27.55	12.26	65.69	0
t_n918	87.651	53.66	97.09	0
t_n919	15.101	4.8	26.45	0
t_n920	125.56	123.91	126.96	0
t_n921	124.565	122.71	126.15	0
t_n922	123.91	121.98	125.61	0
t_n923	122.294	120.18	124.27	0
t_n924	119.589	117.36	121.84	0
t_n925	118.407	116.27	120.7	0
t_n926	113.642	109.7	117.02	0
t_n927	110.879	106.63	114.82	0
t_n928	104.712	101.04	108.96	0
t_n929	103.669	100.29	107.91	0
t_n930	102.75	99.65	106.95	0
t_n931	101.934	98.98	106.04	0
t_n932	100.343	97.61	104.36	0
t_n933_Dipsacales	96.104	95.03	98.8	B(0.95,1.38,1e-300,1e-300)
t_n934	71.806	59.52	84.16	0
t_n935	69.264	57.46	81.27	0
t_n936	62.172	51.49	73.87	0
t_n937	59.534	49.46	70.31	0
t_n938	56.005	46.2	66.57	0
t_n939	49.416	39.18	60.23	0
t_n940	42.478	31.51	53.14	0
t_n941	32.878	23.44	44.3	0
t_n942	21.593	14.1	31.52	0
t_n943	21.325	13.93	30.83	0
t_n944	45.848	31.4	58.54	0
t_n945	27.448	18.41	42.63	0
t_n946	20.975	12.21	33.6	0
t_n947	51.988	38.56	64.73	0
t_n948	36.02	21.96	51.67	0
t_n949	22.77	13.55	37.98	0
t_n950	21.107	9.36	30.17	0
t_n951	18.267	6.51	25.94	0
t_n952	15.325	3.81	23.35	0
t_n953	60.896	42.35	76.72	0
t_n954	24.603	17.56	37.39	0
t_n955	22.277	15.82	33.17	0
t_n956	19.21	11.89	28.19	0
t_n957	32.129	11.22	64.89	0
t_n958_Adoxaceae	83.532	78.21	92	B(0.78,1.1,1e-300,1e-300)
t_n959	45.7	24.21	69.08	0
t_n960	25.195	15	43.37	0
t_n961	18.31	6.87	29.82	0
t_n962	76.762	40.12	97.95	0
t_n963	55.595	19.65	89.35	0
