Mean_time	Mean_qlow	Mean_qup	Priors
t_n877	90.003	67.36	99.63	0
t_n878	51.737	27.03	74.41	0
t_n879	41.108	19.48	64.02	0
t_n880	75.084	45	94.92	0
t_n881_Crossosomatales	98.962	79.57	105.81	B(0.61,1.06,1e-300,1e-300)
t_n882	47.46	23.71	72.94	0
t_n883	36.846	17.41	62.26	0
t_n884	74.98	47.75	97.71	0
t_n885	32.498	15.99	62.66	0
t_n886	116.206	110.88	120.25	0
t_n887_Myrtales	102.047	98.19	108.43	B(0.98,1.18,1e-300,1e-300)
t_n888	95.085	85.44	102.47	0
t_n889	70.418	51.81	86.53	0
t_n890	48.596	27.16	66.93	0
t_n891_Myrtaceae	77.414	70.29	88.77	B(0.7,0.91,1e-300,1e-300)
t_n892	36.079	16.53	63.74	0
t_n893	96.802	84.6	104.74	0
t_n894	62.733	42.34	83.13	0
t_n895	103.684	87.86	114.43	0
t_n896	74.046	45.98	99.56	0
t_n897_Vitaceae	72.003	68.12	77.57	B(0.68,0.78,1e-300,1e-300)
t_n898_Saxifragales	117.758	111.86	122.26	B(1.05,1.29,1e-300,1e-300)
t_n899	115.066	109.03	120.05	0
t_n900	114.229	108.07	119.44	0
t_n901	112.162	106.01	117.77	0
t_n902	105.099	99.28	110.97	0
t_n903	98.669	92.86	104.11	0
t_n904	95.905	89.99	101.21	0
t_n905	89.661	84.79	95.47	0
t_n906_Haloragaceae	79.083	78.03	81.85	B(0.78,1.28,1e-300,1e-300)
t_n907	46.155	22.61	69.07	0
t_n908	97.079	73.43	109.75	0
t_n909	82.368	54.87	101.01	0
t_n910	50.969	23.1	78.59	0
t_n911	46.72	20.63	76.3	0
t_n912	48.211	18.36	89.62	0
t_n913_Altingiaceae	98.546	96.19	99.94	B(0.71,1,1e-300,1e-300)
t_n914_Hamamelidaceae	96.68	95.07	98.99	B(0.95,1.26,1e-300,1e-300)
t_n915	69.263	30.37	95.71	0
t_n916	24.75	13.71	51.71	0
t_n917	27.403	12.42	65.68	0
t_n918	87.685	53.96	97.07	0
t_n919	15.245	4.87	26.44	0
t_n920	125.559	123.92	126.96	0
t_n921	124.564	122.71	126.15	0
t_n922	123.909	121.99	125.61	0
t_n923	122.291	120.18	124.27	0
t_n924	119.589	117.36	121.84	0
